"average_utility","map","malprec","single_f1","single_precision","single_recall","accuracy_score","rejected","rejected_rate","tolerance","nu"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","0"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","0.2"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","0.4"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","0.5"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","0.6"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","0.8"
"0.9996173693157414","0.9996173693157414","0.9998623918615562","0.997763747274601","0.9969348206369911","0.9985976023149943","0.9996173693157414","0","0","0","1"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","0"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","0.2"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","0.4"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","0.5"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","0.6"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","0.8"
"0.9993841612069827","0.9992831346073574","0.999993367050825","0.999610270324599","0.9993242973976761","0.9998968125023996","0.999791080658005","670","0.0010132907448745637","1","1"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","0"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","0.2"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","0.4"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","0.5"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","0.6"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","0.8"
"0.9994845245565388","0.9992793536717421","0.9999933670288269","0.9996447829907933","0.9993919696334597","0.9998981421808292","0.9997941056692096","679","0.0010269021130892967","2","1"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","0"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","0.2"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","0.4"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","0.5"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","0.6"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","0.8"
"0.9994133217478121","0.9988395048285066","1","0.9997088143179823","0.9995060904922862","0.999912089668538","0.9997999848473369","1262","0.0019086162985547752","3","1"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","0"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","0.2"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","0.4"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","0.5"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","0.6"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","0.8"
"0.999589714948999","0.9980565990937852","1","1","1","1","1","2459","0.0037189282711142567","4","1"
